City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Chadan,RU,51.2833,91.5833,-25.29,95,59,1.19,broken clouds
167,Gat,IL,31.61,34.7642,62.4,68,0,5.66,clear sky
168,Socorro,US,31.6546,-106.3033,67.86,29,20,5.75,few clouds
169,Saint George,US,37.1041,-113.5841,53.44,37,0,3.44,clear sky
170,Marsh Harbour,BS,26.5412,-77.0636,76.6,76,17,25.1,few clouds
171,Kendari,ID,-3.945,122.4989,74.37,93,97,3.02,overcast clouds
172,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,75,23.02,moderate rain
173,Birao,CF,10.2849,22.7882,76.03,27,20,5.73,few clouds
174,Anadyr,RU,64.75,177.4833,37.9,86,100,24.61,light rain
175,Woodward,US,36.4337,-99.3904,52.72,40,0,27.63,clear sky
176,Khandyga,RU,62.6667,135.6,-30.1,98,100,0.6,overcast clouds
177,Melito Di Porto Salvo,IT,37.9222,15.7714,55.56,71,22,6.91,few clouds
178,Tromso,NO,69.6496,18.957,35.62,93,75,2.3,broken clouds
179,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,5.75,broken clouds
180,Dingle,PH,10.9995,122.6711,75.63,94,79,8.9,broken clouds
181,Norman Wells,CA,65.282,-126.8329,8.64,78,100,9.22,light snow
182,Moanda,GA,-1.5575,13.2178,73.42,81,99,1.21,overcast clouds
183,Eyl,SO,7.9803,49.8164,78.33,79,91,15.1,overcast clouds
184,Zhicheng,CN,30.2956,111.5047,32.77,78,28,2.26,scattered clouds
185,Sitka,US,57.0531,-135.33,33.69,69,75,9.22,broken clouds
186,Saldanha,ZA,-33.0117,17.9442,64.45,85,39,13.49,scattered clouds
187,Leshukonskoye,RU,64.8989,45.7622,21.31,97,100,4.16,light snow
188,Karratha,AU,-20.7377,116.8463,81.86,46,83,12.53,light rain
189,Cradock,ZA,-32.1642,25.6192,72.66,58,98,10.0,overcast clouds
